ICD 10 CODE,DESCRIPTION,GROUP,
Q34.9,"Congenital malformation of respiratory system, unspecified; Congenital absence of respiratory organ  ; Congenital anomaly NOS of respiratory organ",CONGENITAL MALFORMATIONS OF THE LOWER RESPIRATORY TRACT,
Q30.0,Choanal atresia;  Absence of anterior nares; Absence of posterior nares; congenital stenosis of anterior nares;  Congenital stenosis of posterior nares,"CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q30.1,Agenesis and underdevelopment of nose; Congenital absence of nose,"CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q30.2,"Fissured, notched and cleft nose","CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q31.3,Laryngocele,"CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q31.5,Congenital laryngomalacia,"CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q31.8,"Other congenital malformations of larynx; Absence of cricoid cartilage, epiglottis, glottis, larynx or thyroid cartilage; Agenesis of cricoid cartilage, epiglottis, glottis, larynx or thyroid cartilage;  Atresia of cricoid cartilage, epiglottis, glottis, larynx or thyroid cartilage; Cleft thyroid cartilage; Congenital stenosis of larynx NEC; Fissure of epiglottis; Posterior cleft of cricoid cartilage","CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q31.9,"Congenital malformation of larynx, unspecified","CONGENITAL MALFORMATIONS OF THE NOSE, UPPER RESPIRATORY TRACT",
Q38.2,Macroglossia,CONGENITAL MALFORMATIONS OF THE ORAL CAVITY,
Q38.5,"Congenital malformations of palate, not elsewhere classified; Absence of uvula; Congenital malformation of palate NOS; High arched palate",CONGENITAL MALFORMATIONS OF THE ORAL CAVITY,
Q38.6,Other congenital malformations of mouth; Congenital malformation of mouth NOS,CONGENITAL MALFORMATIONS OF THE ORAL CAVITY,
Q38.8,Other congenital malformations of pharynx; Congenital malformation of pharynx NOS,CONGENITAL MALFORMATIONS OF THE ORAL CAVITY,
Q12.2,Coloboma of lens,CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q12.4,Spherophakia,CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q13.4,"Other congenital corneal malformations; Congenital malformation of cornea NOS; 
Microcornea; Peter's anomaly",CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q14.0,Congenital malformation of vitreous humour; Congenital vitreous opacity,CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q14.1,Congenital malformation of retina; Congenital retinal aneurysm,CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q14.9,"Congenital malformation of posterior segment of eye, unspecified",CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q15.0,"Congenital glaucoma; Buphthalmos; Glaucoma of newborn; Hydrophthalmos; Keratoglobus, congenital, with glaucoma; Macrocornea with glaucoma; Macrophthalmos in congenital glaucoma; Megalocornea with glaucoma",CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q15.8,Other specified congenital malformations of eye,CONGENITAL OPHTHALMOLOGIC DISORDERS,
Q15.9,"Congenital malformation of eye, unspecified; Congenital anomaly NOS of eye; Congenital deformity NOS of eye",CONGENITAL OPHTHALMOLOGIC DISORDERS,
P96.0,Congenital renal failure; Uraemia of newborn,CONGENITAL RENAL DISORDERS,
Q60.0,"Renal agenesis, unilateral",CONGENITAL RENAL DISORDERS,
Q60.1,"Renal agenesis, bilateral",CONGENITAL RENAL DISORDERS,
Q60.2,"Renal agenesis, unspecified",CONGENITAL RENAL DISORDERS,
Q60.3,"Renal hypoplasia, unilateral",CONGENITAL RENAL DISORDERS,
Q60.5,"Renal hypoplasia, unspecified",CONGENITAL RENAL DISORDERS,
Q60.6,Potter's syndrome,CONGENITAL RENAL DISORDERS,
Q61.0,Congenital single renal cyst; Congenital cyst of kidney; Single cyst of kidney,CONGENITAL RENAL DISORDERS,
Q61.1,"Polycystic kidney, autosomal recessive; Polycystic kidney, infantile type",CONGENITAL RENAL DISORDERS,
Q61.2,"Polycystic kidney, autosomal dominant; Polycystic kidney, adult type",CONGENITAL RENAL DISORDERS,
Q61.3,"Polycystic kidney, unspecified",CONGENITAL RENAL DISORDERS,
Q61.4,Renal dysplasia,CONGENITAL RENAL DISORDERS,
Q61.5,Medullary cystic kidney; Sponge kidney NOS,CONGENITAL RENAL DISORDERS,
Q61.8,Other cystic kidney diseases; Fibrocystic kidney; Fibrocystic renal degeneration or disease,CONGENITAL RENAL DISORDERS,
Q61.9,"Cystic kidney disease, unspecified; Meckel-Gruber syndrome",CONGENITAL RENAL DISORDERS,
Q62.0,Congenital hydronephrosis,CONGENITAL RENAL DISORDERS,
Q62.7,Congenital vesico-uretero-renal reflux,CONGENITAL RENAL DISORDERS,
Q63.0,Accessory kidney,CONGENITAL RENAL DISORDERS,
Q63.1,"Lobulated, fused and horseshoe kidney",CONGENITAL RENAL DISORDERS,
Q63.2,Ectopic kidney; Congenital displaced kidney; Malrotation of kidney,CONGENITAL RENAL DISORDERS,
Q63.3,Hyperplastic and giant kidney,CONGENITAL RENAL DISORDERS,
Q63.8,Other specified congenital malformations of kidney; Congenital renal calculi,CONGENITAL RENAL DISORDERS,
A50.0,"Early cutaneous congenital syphilis: , Early mucocutaneous congenital syphilis, Early visceral congenital syphilis; Early  congenital syphilitic  laryngitis;  Early  congenital syphilitic  oculopathy;  Early  congenital syphilitic  osteochondropathy;  Early congenital syphilitic pharyngitis; Early congenital syphilitic pneumonia; Early congenital syphilitic rhinitis",CONGENITAL SYPHILIS,
A50.2,"Early congenital syphilis, unspecified; Congenital syphilis NOS less than two years after birth.",CONGENITAL SYPHILIS,
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis]; Dementia paralytica juvenilis; Juvenile general paresis ; Juvenile tabes dorsalis;  Juvenile taboparetic neurosyphilis,CONGENITAL SYPHILIS,
A50.5,"Other late congenital syphilis, symptomatic; Syphilitic saddle nose",CONGENITAL SYPHILIS,
A50.9,"Congenital syphilis, unspecified",CONGENITAL SYPHILIS,
Q62.1,Atresia and stenosis of ureter; Congenital occlusion of  ureter; Congenital occlusion of ureteropelvic junction; Congenital occlusion of ureterovesical orifice; Impervious ureter,CONGENITAL URINARY TRACT DISORDERS,
Q62.2,Congenital megaloureter; Congenital dilatation of ureter,CONGENITAL URINARY TRACT DISORDERS,
Q62.3,Other obstructive defects of renal pelvis and ureter; Congenital ureterocele,CONGENITAL URINARY TRACT DISORDERS,
Q62.5,"Duplication of ureter; Accessory of ureter, Double of ureter",CONGENITAL URINARY TRACT DISORDERS,
Q62.6,"Malposition of ureter; Deviation of ureter or ureteric orifice; Displacement of ureter or ureteric orifice; Ectopic of ureter or ureteric orifice; Implantation, anomalous of ureter or ureteric orifice",CONGENITAL URINARY TRACT DISORDERS,
Q64.1,Exstrophy of urinary bladder; Ectopia vesicae; Extroversion of bladder,CONGENITAL URINARY TRACT DISORDERS,
Q64.2,Congenital posterior urethral valves,CONGENITAL URINARY TRACT DISORDERS,
Q64.3,Other atresia and stenosis of urethra and bladder neck; Congenital bladder neck obstruction; Congenital stricture of urethra; Congenital stricture of urinary meatus; Congenital stricture of vesicourethral orifice; Impervious urethra,CONGENITAL URINARY TRACT DISORDERS,
Q64.4,Malformation of urachus; Cyst of urachus; Patent urachus; Prolapse of urachus,CONGENITAL URINARY TRACT DISORDERS,
Q64.7,Other congenital malformations of bladder and urethra; Accessory bladder; Accessory urethra; Congenital hernia of bladder; Congenital malformation of bladder or urethra NOS; Congenital prolapse of bladder (mucosa); Congenital prolapse of urethra; Congenital prolapse of urinary meatus; Congenital prolapse of urethrorectal fistula; Double urethra; Double urinary meatus,CONGENITAL URINARY TRACT DISORDERS,
Q64.8,Other specified congenital malformations of urinary system,CONGENITAL URINARY TRACT DISORDERS,
Q64.9,"Congenital malformation of urinary system, unspecified; Congenital  anomaly NOS of urinary system; Congenital deformity NOS of urinary system",CONGENITAL URINARY TRACT DISORDERS,
Q27.1,Congenital renal artery stenosis,CONGENITAL VASCULAR DISEASES,
Q27.3,Peripheral arteriovenous malformation; Arteriovenous aneurysm,CONGENITAL VASCULAR DISEASES,
Q27.8,"Other specified congenital malformations of peripheral vascular system; Aberrant subclavian artery; Absence of artery or vein NEC; Atresia of artery or vein NEC; Congenital aneurysm (peripheral); Congenital stricture, artery; Congenital varix",CONGENITAL VASCULAR DISEASES,
Q27.9,"Congenital malformation of peripheral vascular system, unspecified; Anomaly of artery or vein NOS",CONGENITAL VASCULAR DISEASES,
Q28.0,Arteriovenous malformation of precerebral vessels; Congenital arteriovenous precerebral aneurysm (nonruptured),CONGENITAL VASCULAR DISEASES,
Q28.1,Other malformations of precerebral vessels; Congenital malformation of precerebral vessels NOS; Congenital precerebral aneurysm (nonruptured),CONGENITAL VASCULAR DISEASES,
Q28.2,"Arteriovenous malformation of cerebral vessels; Arteriovenous malformation of brain NOS; 
Congenital arteriovenous cerebral aneurysm (nonruptured)",CONGENITAL VASCULAR DISEASES,
Q28.3,"Other malformations of cerebral vessels; Congenital cerebral aneurysm, nonruptured; Congenital malformation of cerebral vessels NOS",CONGENITAL VASCULAR DISEASES,
M30.0,Polyarteritis nodosa,CONNECTIVE TISSUE DISEASES,
M30.1,Polyarteritis with lung involvement [Churg-Strauss]; Allergic granulomatous angiitis,CONNECTIVE TISSUE DISEASES,
M30.2,Juvenile polyarteritis,CONNECTIVE TISSUE DISEASES,
M30.3,Mucocutaneous lymph node syndrome [Kawasaki],CONNECTIVE TISSUE DISEASES,
M30.8,Other conditions related to polyarteritis nodosa; Polyangiitis overlap syndrome,CONNECTIVE TISSUE DISEASES,
M31.0,Hypersensitivity angiitis; Goodpasture's syndrome,CONNECTIVE TISSUE DISEASES,
M31.1,Thrombotic microangiopathy; Thrombotic thrombocytopenic purpura,CONNECTIVE TISSUE DISEASES,
M31.2,Lethal midline granuloma,CONNECTIVE TISSUE DISEASES,
M31.3,Wegener's granulomatosis; Necrotizing respiratory granulomatosis,CONNECTIVE TISSUE DISEASES,
M31.4,Aortic arch syndrome [Takayasu],CONNECTIVE TISSUE DISEASES,
M31.6,Other giant cell arteritis,CONNECTIVE TISSUE DISEASES,
M31.8,Other specified necrotizing vasculopathies; Hypocomplementaemic vasculitis,CONNECTIVE TISSUE DISEASES,
M31.9,"Necrotizing vasculopathy, unspecified",CONNECTIVE TISSUE DISEASES,
M33.0,Juvenile dermatomyositis,CONNECTIVE TISSUE DISEASES,
M33.1,Other dermatomyositis,CONNECTIVE TISSUE DISEASES,
M33.2,Polymyositis,CONNECTIVE TISSUE DISEASES,
M33.9,"Dermatopolymyositis, unspecified",CONNECTIVE TISSUE DISEASES,
M34.0,Progressive systemic sclerosis,CONNECTIVE TISSUE DISEASES,
M34.1,"CR(E)ST syndrome; Combination of calcinosis, Raynaud's phenomenon, (o)esophageal dysfunction, 
sclerodactyly, telangiectasia",CONNECTIVE TISSUE DISEASES,
M34.2,Systemic sclerosis induced by drugs and chemicals,CONNECTIVE TISSUE DISEASES,
M34.9,"Systemic sclerosis, unspecified",CONNECTIVE TISSUE DISEASES,
M35.0,Sicca syndrome [SJÖGREN],CONNECTIVE TISSUE DISEASES,
M35.1,Other overlap syndromes; Mixed connective tissue disease,CONNECTIVE TISSUE DISEASES,
M35.2,Behçet's disease,CONNECTIVE TISSUE DISEASES,
M35.3,Polymyalgia rheumatica,CONNECTIVE TISSUE DISEASES,
M35.4,Diffuse (eosinophilic) fasciitis,CONNECTIVE TISSUE DISEASES,
M35.8,Other specified systemic involvement of connective tissue,CONNECTIVE TISSUE DISEASES,
M35.9,"Systemic involvement of connective tissue, unspecified; Systemic  Autoimmune disease NOS; Collagen (vascular) disease NOS",CONNECTIVE TISSUE DISEASES,
G50.0,Trigeminal neuralgia; Syndrome of paroxysmal facial pain; Tic douloureux,CRANIAL NERVE DISORDER,
G50.8,Other disorders of trigeminal nerve,CRANIAL NERVE DISORDER,
G51.0,Bell's palsy; Facial palsy,CRANIAL NERVE DISORDER,
G51.1,Geniculate ganglionitis,CRANIAL NERVE DISORDER,
G51.3,Clonic hemifacial spasm,CRANIAL NERVE DISORDER,
G51.4,Facial myokymia,CRANIAL NERVE DISORDER,
G51.8,Other disorders of facial nerve,CRANIAL NERVE DISORDER,
G51.9,"Disorder of facial nerve, unspecified",CRANIAL NERVE DISORDER,
G52.0,Disorders of olfactory nerve; Disorder of 1st cranial nerve,CRANIAL NERVE DISORDER,
G52.1,Disorders of glossopharyngeal nerve; Disorder of 9th cranial nerve; Glossopharyngeal neuralgia,CRANIAL NERVE DISORDER,
G52.2,Disorders of vagus nerve; Disorder of pneumogastric [10th] nerve,CRANIAL NERVE DISORDER,
G52.7,Disorders of multiple cranial nerves; Polyneuritis cranialis,CRANIAL NERVE DISORDER,
G52.8,Disorders of other specified cranial nerves,CRANIAL NERVE DISORDER,
H46,"Optic neuritis; Optic neuropathy, except ischaemic; Optic papillitis; Retrobulbar neuritis NOS",CRANIAL NERVE DISORDER,
H47.0,"Disorders of optic nerve, not elsewhere classified; Compression of optic nerve; Haemorrhage in optic nerve sheath; Ischaemic optic neuropathy",CRANIAL NERVE DISORDER,
J05.0,Acute obstructive laryngitis [croup]; Obstructive laryngitis NOS,CROUP,
E24.0,Pituitary-dependent Cushing's disease; Overproduction of pituitary ACTH; Pituitary-dependent hyperadrenocorticism,CUSHING'S SYNDROME,
E24.1,Nelson's syndrome,CUSHING'S SYNDROME,
E24.2,Drug-induced Cushing's syndrome,CUSHING'S SYNDROME,
E24.3,Ectopic ACTH syndrome,CUSHING'S SYNDROME,
E24.8,Other Cushing's syndrome,CUSHING'S SYNDROME,
E24.9,"Cushing's syndrome, unspecified",CUSHING'S SYNDROME,
E84.0,Cystic fibrosis with pulmonary manifestations,CYSTIC FIBROSIS,
E84.1,Cystic fibrosis with intestinal manifestations,CYSTIC FIBROSIS,
E84.8,Cystic fibrosis with other manifestations; Cystic fibrosis with combined manifestations,CYSTIC FIBROSIS,
E84.9,"Cystic fibrosis, unspecified",CYSTIC FIBROSIS,
G30.0,Alzheimer's disease with early onset,DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G30.1,Alzheimer's disease with late onset,DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G30.8,Other Alzheimer's disease,DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G30.9+F00.9*,"Dementia in alzheimer's disease, unspecified",DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G31.0,Circumscribed brain atrophy; Pick's disease; Progressive isolated aphasia,DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G31.1,"Senile degeneration of brain, not elsewhere classified",DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G31.2,Degeneration of nervous system due to alcohol; Alcoholic cerebellar ataxia; Alcoholic cerebellar degeneration; Alcoholic cerebral degeneration; Alcoholic encephalopathy; Dysfunction of autonomic nervous system due to alcohol,DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G31.8,Other specified degenerative diseases of nervous system; Grey-matter degeneration [Alpers]; Lewy body (ies) dementia; Lewy body (ies) disease; Subacute necrotizing encephalopathy [Leigh],DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G32.8*,Other specified degenerative disorders of nervous system in diseases classified elsewhere,DEGENERATIVE DISEASES OF CENTRAL NERVOUS SYSTEM,
G35,"Multiple sclerosis; Multiple sclerosis  NOS; Multiple sclerosis of brain stem; Multiple sclerosis of cord; Multiple sclerosis, disseminated; Multiple sclerosis,  generalized",DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G36.0,Neuromyelitis optica [Devic]; Demyelination in optic neuritis,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G36.1,Acute and subacute haemorrhagic leukoencephalitis [Hurst],DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G36.8,Other specified acute disseminated demyelination,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G36.9,"Acute disseminated demyelination, unspecified",DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.0,Diffuse sclerosis; Periaxial encephalitis; Schilder's disease,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.1,Central demyelination of corpus callosum,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.2,Central pontine myelinolysis,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.3,Acute transverse myelitis in demyelinating disease of central nervous system; Acute transverse myelitis NOS,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.4,Subacute necrotizing myelitis,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.8,Other specified demyelinating diseases of central nervous system,DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
G37.9,"Demyelinating disease of central nervous system, unspecified
Brain sclerosis",DEMYELINATING DISEASE OF CENTRAL NERVOUS SYSTEM,
A97.0,Dengue without warning signs: Dengue fever (DF) Dengue haemorrhagic fever Grades 1 and 2; Dengue haemorrhagic fever without warning signs,DENGUE FEVER,
A97.1,Dengue with warning sings; Dengue haemorrhagic fever with warning signs,DENGUE FEVER,
A97.2,Severe Dengue; Severe Dengue fever; Severe Dengue haemorrhagic fever,"DENGUE, SEVERE",
E23.2,Diabetes insipidus,DIABETES INSIPIDUS,
N25.1,Nephrogenic diabetes insipidus,DIABETES INSIPIDUS,
E10.0,Insulin-dependent diabetes mellitus with coma;  Brittle diabetes (mellitus) with coma; Juvenile-onset diabetes (mellitus) withcoma  ; Ketosis-prone  diabetes (mellitus) with coma; Type I diabetes (mellitus) with coma;,DIABETES MELLITUS WITH COMA OR KETOSIS,
E10.1,Insulin-dependent diabetes mellitus with acididosis/ ketoacidosis without mention of coma; Diabetic acididosis without mention of coma; Diabetic ketoacidosis without mention of coma;,DIABETES MELLITUS WITH COMA OR KETOSIS,
E11.0,Non-insulin-dependent diabetes mellitus with coma;  Nonobese diabetes (mellitus)  With coma ; Obese diabetes mellitus With coma  ; Adult-onset diabetes mellitus With coma ; Maturity-onset diabetes mellitus With coma ; Nonketotic diabetes mellitus With coma; Stable diabetes mellitus with coma; Type II diabetes mellitus with coma; Non-insulin-dependent diabetes of the young,DIABETES MELLITUS WITH COMA OR KETOSIS,
E11.1,Non-insulin-dependent diabetes mellitus with  ketoacidosis without mention of coma; ;  Nonobese diabetes (mellitus)  With ketoacidosis without mention of coma; Obese diabetes mellitus With ketoacidosis without mention of coma; Adult-onset diabetes mellitus without mention of coma; Maturity-onset diabetes mellitus without mention of coma; Nonketotic diabetes mellitus without mention of coma; Stable diabetes mellitus without mention of coma; Type II diabetes mellitus without mention of coma; Non-insulin-dependent diabetes of the young,DIABETES MELLITUS WITH COMA OR KETOSIS,
E12.0,Malnutrition-related diabetes mellitus with coma;  Insulin-dependent malnutrition-related diabetes mellitus with coma ; Non-insulin-dependent malnutrition-related diabetes mellitus with coma,DIABETES MELLITUS WITH COMA OR KETOSIS,
E13.0,Other specified diabetes mellitus with coma,DIABETES MELLITUS WITH COMA OR KETOSIS,
E13.1,Other specified diabetes mellitus with acididosis/ ketoacidosis without mention of coma,DIABETES MELLITUS WITH COMA OR KETOSIS,
E14.0,Unspecified diabetes mellitus; diabetes NOS with coma,DIABETES MELLITUS WITH COMA OR KETOSIS,
E14.1,Unspecified diabetes mellitus; diabetes NOS  with acididosis/ ketoacidosis without mention of coma,DIABETES MELLITUS WITH COMA OR KETOSIS,
E10.5,Insulin-dependent diabetes mellitus with Diabetic gangrene/ ulcer,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E10.6,Insulin-dependent diabetes mellitus with other specified complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E10.7,Insulin-dependent diabetes mellitus with multiple complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E10.8,Insulin-dependent diabetes mellitus  with unspecified complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E11.5,Non-insulin-dependent diabetes mellitus with Diabetic gangrene/ ulcer;  Nonobese diabetes (mellitus)  with  Diabetic gangrene/ ulcer;  Obese diabetes mellitus with Diabetic gangrene/ ulcer; Adult-onset diabetes mellitus with Diabetic gangrene/ ulcer;  Maturity -onset diabetes mellitus with Diabetic gangrene/ulcer; Nonketotic diabetes mellitus with Diabetic gangrene/ulcer; Stable diabetes mellitus with diabetic gangrene/ulcer; Type II diabetes mellitus with diabetic gangrene/ulcer; Non-insulin-dependent diabetes of the young,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E11.6,Non-insulin-dependent diabetes mellitus with other specified complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E11.7,Non-insulin-dependent diabetes mellitus with  multiple complications ;  Nonobese diabetes (mellitus)  With  multiple complications ; Obese diabetes mellitus With multiple complications   ; Adult-onset diabetes mellitus With  multiple complications ; Matur,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E12.5,Malnutrition-related diabetes mellitus with Diabetic gangrene/ ulcer;  Insulin-dependent malnutrition-related diabetes mellitus with Diabetic gangrene/ ulcer; Non-insulin-dependent malnutrition-related diabetes mellitus with Diabetic gangrene/ ulcer,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E12.6,Malnutrition-related diabetes mellitus with other specified complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E12.8,Malnutrition-related diabetes mellitus with  unspecified  complications;  Insulin-dependent malnutrition-related diabetes mellitus with  unspecified  complications; Non-insulin-dependent malnutrition-related diabetes mellitus with  unspecified  complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E13.5,Other specified diabetes mellitus with Diabetic gangrene/ ulcer,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E13.6,Other specified diabetes mellitus with other specified complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E14.5,Unspecified diabetes mellitus; diabetes NOS with Diabetic gangrene/ ulcer,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E14.6,Unspecified diabetes mellitus with other specified complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
E14.7,Unspecified diabetes mellitus; diabetes NOS with  multiple complications,DIABETES MELLITUS WITH COMPLICATIONS OTHER THAN COMA AND KETOSIS,
A36.0,Pharyngeal diphtheria; Diphtheritic membranous angina; Tonsillar diphtheria,DIPHTHERIA,
A36.3,Cutaneous diphtheria,DIPHTHERIA,
A36.9,"Diphtheria, unspecified",DIPHTHERIA,
D70,"Agranulocytosis; Agranulocytic angina; Infantile genetic agranulocytosis; Kostmann's disease;  
Neutropenia NOS;  Congenital Neutropenia; Cyclic Neutropenia; Drug-induced Neutropenia; Periodic Neutropenia;  Primary Splenic Neutropenia; Toxic Neutropenia; Neutropenic splenomegaly",DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D71,"Functional disorders of polymorphonuclear  neutrophils; Cell membrane receptor complex [CR3] defect; Chronic (childhood) granulomatous disease; 
Congenital dysphagocytosis; Progressive septic granulomatosis; Other disorders of white blood cells",DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D72.0,"Genetic anomalies of leukocytes; Alder Granulation Anomaly or Syndrome; Alder Granulocyte Anomaly or Syndrome;  May-Hegglin  Granulation Anomaly or Syndrome;   May-Hegglin Granulocyte Anomaly or Syndrome;   Pelger-Huët  Granulocyte Anomaly or Syndrome;  Hereditary leukocytic: hypersegmentation,; hyposegmentation ; Hereditary leukomelanopathy",DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D72.8,Other specified disorders of white blood cells; Lymphocytic Leukaemoid reaction; Monocytic Leukaemoid reaction; Myelocytic Leukaemoid reaction; Leukocytosis;  Symptomatic Lymphocytosis;  Lymphopenia; Symptomatic Monocytosis;Plasmacytosis,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D73.2,Chronic congestive splenomegaly,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D73.3,Abscess of spleen,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D73.4,Cyst of spleen,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D73.5,Infarction of spleen;  Nontraumatic Splenic rupture; Torsion of spleen,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D73.8,Other diseases of spleen; Fibrosis of spleen NOS;  Perisplenitis; Splenitis NOS,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D74.9,"Methaemoglobinaemia, unspecified",DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D75.0,Familial erythrocytosis; Benign Polycythaemia; Familial  Polycythaemia,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D75.1,Secondary polycythaemia;  Acquired Polycythaemia due to erythropoietin;  Acquired Polycythaemia due to fall in plasma volume; Acquired Polycythaemia due to high altitude; Acquired Polycythaemia due to  stress; Emotional Polycythaemia; Hypoxaemic Polycythaemia; nephrogenous Polycythaemia; relative Polycythaemia,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D75.2,Essential thrombocytosis,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D75.8,Other specified diseases of blood and blood-forming organs,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D76.0,"Langerhans' cell histiocytosis, not elsewhere classified",DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D76.1,Haemophagocytic lymphohistiocytosis; Eosinophilic granuloma; Hand-Schüller-Christian disease; Chronic Histiocytosis X,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D76.2,"Haemophagocytic syndrome, infection-associated",DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
D76.3,Other histiocytosis syndromes; Reticulohistiocytoma (giant-cell); Sinus histiocytosis with massive lymphadenopathy; Xanthogranuloma,DISEASES OF BLOOD AND BLOOD FORMING ORGANS,
K20,Oesophagitis; Abscess of oesophagus; Oesophagitis NOS; Chemical oesophagitis; Peptic oesophagitis,DISEASES OF ESOPHAGUS,
K22.0,Achalasia of cardia; Achalasia NOS; Cardiospasm,DISEASES OF ESOPHAGUS,
K22.1,Ulcer of oesophagus; Erosion of oesophagus; Ulcer of oesophagus NOS; Ulcer of oesophagus due to ingestion of chemicals; Ulcer of oesophagus due to ingestion of drugs and medicaments; Fungal ulcer of oesophagus; Peptic ulcer of oesophagus; Ulcerative oesophagitis,DISEASES OF ESOPHAGUS,
K22.2,Oesophageal obstruction; Oesophageal web (acquired); Compression of oesophagus; Constriction of oesophagus; Stenosis of oesophagus; Stricture of oesophagus,DISEASES OF ESOPHAGUS,
K22.3,Perforation of oesophagus; Rupture of oesophagus,DISEASES OF ESOPHAGUS,
K22.4,Dyskinesia of oesophagus; Corksrew oesophagus; Diffuse oesophageal spasm; Spasm of oesophagus,DISEASES OF ESOPHAGUS,
K22.6,Gastro-oesophageal laceration-haemorrhage syndrome; Mallory-Weiss syndrome,DISEASES OF ESOPHAGUS,
K22.7,Barrett's esophagus; Barret's disease; Barett's syndrome,DISEASES OF ESOPHAGUS,
K22.8,Other specified diseases of oesophagus; Haemorrhage of oesophagus NOS,DISEASES OF ESOPHAGUS,
K22.9,"Disease of oesophagus, unspecified",DISEASES OF ESOPHAGUS,
H60.1,Cellulitis of external ear; Cellulitis of auricle; Cellulitis of external auditory canal,DISEASES OF EXTERNAL EAR,
