CODE,DIAGNOSIS,ACR group,ICD 10 Chapter Number,ICD 10 chapter description,ICD 10 block,NOTES
C43.1  M8780/,"MALIGNANT BLUE NEVUS OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C43.2,MALIGNANT MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8721/,NODULAR MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8722/,BALLOON CELL MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8723/,REGRESSING MALIGNANT MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8730/,AMELANOTIC MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8740/,MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8741/,MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8742/,MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8743/,SUPERFICIAL SPREADING MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8744/,MALIGNANT ACRAL LENTIGINOUS MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8745/,MALIGNANT DESMOPLASTIC MELANOMA OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8761/,MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.2  M8780/,MALIGNANT BLUE NEVUS OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C43.3,MALIGNANT MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8721/,NODULAR MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8722/,BALLOON CELL MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8723/,REGRESSING MALIGNANT MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8730/,AMELANOTIC MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8740/,MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8741/,MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8742/,MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8743/,SUPERFICIAL SPREADING MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8744/,MALIGNANT ACRAL LENTIGINOUS MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8745/,MALIGNANT DESMOPLASTIC MELANOMA OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8761/,MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.3  M8780/,MALIGNANT BLUE NEVUS OF OTHER AND UNSPECIFIED PARTS OF FACE,,2,Neoplasms,Malignant neoplasms,1
C43.4,MALIGNANT MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8721/,NODULAR MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8722/,BALLOON CELL MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8723/,REGRESSING MALIGNANT MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8730/,AMELANOTIC MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8740/,MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8741/,MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8742/,MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8743/,SUPERFICIAL SPREADING MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8744/,MALIGNANT ACRAL LENTIGINOUS MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8745/,MALIGNANT DESMOPLASTIC MELANOMA OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8761/,MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.4  M8780/,MALIGNANT BLUE NEVUS OF SCALP AND NECK,,2,Neoplasms,Malignant neoplasms,1
C43.5,MALIGNANT MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8721/,NODULAR MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8722/,BALLOON CELL MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8723/,REGRESSING MALIGNANT MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8730/,AMELANOTIC MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8740/,MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8741/,MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8742/,MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8743/,SUPERFICIAL SPREADING MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8744/,MALIGNANT ACRAL LENTIGINOUS MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8745/,MALIGNANT DESMOPLASTIC MELANOMA OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8761/,MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.5  M8780/,MALIGNANT BLUE NEVUS OF TRUNK/ ANAL MARGIN/ ANAL SKIN/ PERIANAL SKIN/ SKIN OF BREAST,,2,Neoplasms,Malignant neoplasms,1
C43.6,"MALIGNANT MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8721/,"NODULAR MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8722/,"BALLOON CELL MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8723/,"REGRESSING MALIGNANT MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8730/,"AMELANOTIC MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8740/,"MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8741/,"MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8742/,"MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8743/,"SUPERFICIAL SPREADING MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8744/,"MALIGNANT ACRAL LENTIGINOUS MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8745/,"MALIGNANT DESMOPLASTIC MELANOMA OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8761/,"MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.6  M8780/,"MALIGNANT BLUE NEVUS OF UPPER LIMB, INCLUDING SHOULDER",,2,Neoplasms,Malignant neoplasms,1
C43.7,"MALIGNANT MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8721/,"NODULAR MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8722/,"BALLOON CELL MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8723/,"REGRESSING MALIGNANT MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8730/,"AMELANOTIC MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8740/,"MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8741/,"MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8742/,"MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8743/,"SUPERFICIAL SPREADING MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8744/,"MALIGNANT ACRAL LENTIGINOUS MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8745/,"MALIGNANT DESMOPLASTIC MELANOMA OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8761/,"MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.7  M8780/,"MALIGNANT BLUE NEVUS OF LOWER LIMB, INCLUDING HIP",,2,Neoplasms,Malignant neoplasms,1
C43.8,"OVERLAPPING MALIGNANT MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8721/,"OVERLAPPING NODULAR MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8722/,"OVERLAPPING BALLOON CELL MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8723/,"OVERLAPPING REGRESSING MALIGNANT MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8730/,"OVERLAPPING AMELANOTIC MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8740/,"OVERLAPPING MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8741/,"OVERLAPPING MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8742/,"OVERLAPPING MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8743/,"OVERLAPPING SUPERFICIAL SPREADING MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8744/,"OVERLAPPING MALIGNANT ACRAL LENTIGINOUS MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8745/,"OVERLAPPING MALIGNANT DESMOPLASTIC MELANOMA OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8761/,"OVERLAPPING MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.8  M8780/,"OVERLAPPING MALIGNANT BLUE NEVUS OF SKIN, [SEE NOTE 5 ON PAGE 182]",,2,Neoplasms,Malignant neoplasms,1
C43.9,"MALIGNANT MELANOMA OF SKIN, UNSPECIFIED, MALIGNANT MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8721/,"NODULAR MELANOMA OF SKIN, UNSPECIFIED, NODULAR MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8722/,"BALLOON CELL MELANOMA OF SKIN, UNSPECIFIED, BALLOON CELL MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8723/,"REGRESSING MALIGNANT MELANOMA OF SKIN, UNSPECIFIED, REGRESSING MALIGNANT MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8730/,"AMELANOTIC MELANOMA OF SKIN, UNSPECIFIED, AMELANOTIC MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8740/,"MALIGNANT MELANOMA IN JUNCTIONAL NEVUS OF SKIN, UNSPECIFIED, MALIGNANT MELANOMA IN JUNCTIONAL NEVUS NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8741/,"MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS OF SKIN, UNSPECIFIED, MALIGNANT MELANOMA IN PRECANCEROUS MELANOSIS NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8742/,"MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE OF SKIN, UNSPECIFIED, MALIGNANT MELANOMA IN HUTCHINSON'S MELANOTIC FRECKLE NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8743/,"SUPERFICIAL SPREADING MELANOMA OF SKIN, UNSPECIFIED, SUPERFICIAL SPREADING MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8744/,"MALIGNANT ACRAL LENTIGINOUS MELANOMA OF SKIN, UNSPECIFIED, MALIGNANT ACRAL LENTIGINOUS MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8745/,"MALIGNANT DESMOPLASTIC MELANOMA OF SKIN, UNSPECIFIED, MALIGNANT DESMOPLASTIC MELANOMA NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8761/,"MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS OF SKIN, UNSPECIFIED, MALIGNANT MELANOMA IN GIANT PIGMENTED NEVUS NOS",,2,Neoplasms,Malignant neoplasms,1
C43.9  M8780/,"MALIGNANT BLUE NEVUS OF SKIN, UNSPECIFIED, MALIGNANT BLUE NEVUS NOS",,2,Neoplasms,Malignant neoplasms,1
C43+D63.0*,ANEMIA IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G13.0*,SENSORIAL PARANEOPLASTIC NEUROPATHY IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G13.1*,PARANEOPLASTIC LIMBIC ENCEPHALOPATHY IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G53.3*,MULTIPLE CRANIAL NERVE PALSIES IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G55.0*,NERVE ROOT AND PLEXUS DISORDER IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G63.1*,POLYNEUROPATHY IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G73.2*,OTHER MYASTHENIC SYNDROMES IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G94.1*,HYDROCEPHALUS IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+G99.2*,MYELOPATHY IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+M36.0*,DERMATO(POLY)MYOSITIS IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+M36.1*,ARTHROPATHY IN MALIGNANT MELANOMA OF SKIN,,2,Neoplasms,Malignant neoplasms,1
C43+M90.60*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, MULTIPLE SITES",,2,Neoplasms,Malignant neoplasms,1
C43+M90.61*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.62*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, UPPER ARM ( HUMERUS, ELBOW JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.63*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.64*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.65*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.66*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.67*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.68*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.69*,"OSTEITIS DEFORMANS IN MALIGNANT MELANOMA OF SKIN, SITE UNSPECIFIED",,2,Neoplasms,Malignant neoplasms,1
C43+M90.70*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, MULTIPLE SITES",,2,Neoplasms,Malignant neoplasms,1
C43+M90.71*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, SHOULDER REGION (CLAVICLE, SCAPULA, ACROMIOCLAVICULAR JOINT, GLENOHUMERAL JOINT, STERNOCLAVICULAR JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.72*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, UPPER ARM ( HUMERUS, ELBOW JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.73*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, FOREARM ( RADIUS, ULNA, WRIST JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.74*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, HAND (CARPUS, FINGERS, METACARPUS, JOINTS BETWEEN THESE BONES)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.75*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, PELVIC REGION AND THIGH (BUTTOCK, FEMUR, PELVIS, HIP JOINT, SACROILIAC JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.76*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, LOWER LEG (FIBULA, TIBIA, KNEE JOINT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.77*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, ANKLE AND FOOT (METATARSUS, TARSUS, TOES, ANKLE JOINT, OTHER JOINTS IN FOOT)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.78*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, OTHER SITES (HEAD, NECK, RIBS, SKULL, TRUNK, VERTEBRAL COLUMN)",,2,Neoplasms,Malignant neoplasms,1
C43+M90.79*,"FRACTURE OF BONE IN MALIGNANT MELANOMA OF SKIN, SITE UNSPECIFIED",,2,Neoplasms,Malignant neoplasms,1
C44.0,"MALIGNANT MELANOMA OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8090/,BASAL CELL CARCINOMA NOS OF SKIN OF LIP,,2,Neoplasms,Malignant neoplasms,1
C44.0  M8091/,MULTICENTRIC BASAL CELL CARCINOMA OF SKIN OF LIP,,2,Neoplasms,Malignant neoplasms,1
C44.0  M8092/,"BASAL CELL CARCINOMA, MORPHOEA OF SKIN OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8093/,"BASAL CELL CARCINOMA, FIBROEPITHELIAL OF SKIN OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8094/,BASOSQUAMOUS CARCINOMA OF SKIN OF LIP,,2,Neoplasms,Malignant neoplasms,1
C44.0  M8095/,METATYPICAL CARCINOMA OF SKIN OF LIP,,2,Neoplasms,Malignant neoplasms,1
C44.0  M8110/,"PILOMATRIX CARCINOMA OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8247/,"MERKEL CELL CARCINOMA OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8390/,"SKIN APPENDAGE CARCINOMA OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8400/,"SWEAT GLAND ADENOCARCINOMA OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8410/,"SEBACEOUS ADENOCARCINOMA OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.0  M8832/,"DERMATOFIBROSARCOMA NOS OF SKIN OF LIP, BASAL CELL CARCINOMA OF LIP",,2,Neoplasms,Malignant neoplasms,1
C44.1,"MALIGNANT MELANOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8090/,"BASAL CELL CARCINOMA NOS OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8091/,"MULTICENTRIC BASAL CELL CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8092/,"BASAL CELL CARCINOMA, MORPHOEA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8093/,"BASAL CELL CARCINOMA, FIBROEPITHELIAL OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8094/,"BASOSQUAMOUS CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8095/,"METATYPICAL CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8110/,"PILOMATRIX CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8247/,"MERKEL CELL CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8390/,"SKIN APPENDAGE CARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8400/,"SWEAT GLAND ADENOCARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8410/,"SEBACEOUS ADENOCARCINOMA OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.1  M8832/,"DERMATOFIBROSARCOMA NOS OF SKIN OF EYELID, INCLUDING CANTHUS",,2,Neoplasms,Malignant neoplasms,1
C44.2,MALIGNANT MELANOMA OF SKIN OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C44.2  M8090/,BASAL CELL CARCINOMA NOS OF SKIN OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
C44.2  M8091/,MULTICENTRIC BASAL CELL CARCINOMA OF SKIN OF EAR AND EXTERNAL AURICULAR CANAL,,2,Neoplasms,Malignant neoplasms,1
